classification,gyroscope_z_avg,accelerometer_y_avg,accelerometer_x_avg,accelerometer_z_avg,audio_avg,gyroscope_y_avg,gyroscope_x_avg,gyroscope_z_sdv,accelerometer_y_sdv,accelerometer_x_sdv,accelerometer_z_sdv,audio_sdv,gyroscope_y_sdv,gyroscope_x_sdv
paved_30,0.502257253,0.467657931,0.554220885,0.537810294,0.497459046,0.406525756,0.501268253,0.071864337,0.103364456,0.093567102,0.103603956,0.133294893,0.073034631,0.084430957
paved_30,0.457879507,0.455123073,0.539959632,0.544222375,0.497304896,0.404728171,0.675193468,0.040957662,0.052660413,0.055402138,0.052813266,0.038890727,0.033332468,0.036536436
paved_30,0.463185322,0.468798305,0.551176261,0.543860713,0.497352226,0.405381197,0.675759162,0.037038144,0.045049932,0.051447864,0.045905594,0.047119341,0.041960211,0.035380274
paved_30,0.431259923,0.453396995,0.561457591,0.543854367,0.497346442,0.402239574,0.675981435,0.040258511,0.056621903,0.068478046,0.060529972,0.052167481,0.053514532,0.040659268
paved_30,0.444874564,0.400572366,0.554238027,0.543950512,0.497409344,0.408891326,0.676410513,0.027677114,0.037159114,0.044527573,0.041006641,0.043499417,0.033232567,0.027140946
paved_30,0.44657315,0.512582906,0.534656525,0.534220821,0.497370679,0.405396225,0.668041301,0.063854634,0.077779586,0.077261058,0.084978218,0.062076292,0.056814757,0.038808627
paved_30,0.437222899,0.420263994,0.559780635,0.54743071,0.515737456,0.40773857,0.679063205,0.040283508,0.048761949,0.060478838,0.054120777,0.048219446,0.046824108,0.031553974
paved_30,0.401859652,0.415718441,0.541192514,0.54235957,0.536723583,0.408057474,0.672430162,0.078907552,0.072422255,0.078797986,0.083250808,0.101717741,0.060521794,0.047093423
paved_30,0.479527134,0.44677113,0.532001851,0.544590461,0.536658781,0.404797312,0.677088625,0.062886246,0.060180947,0.058272702,0.061708533,0.077990539,0.04476185,0.037727534
paved_30,0.434154986,0.453607909,0.566238307,0.542962105,0.536720642,0.408569955,0.676813612,0.046643605,0.061376728,0.083173613,0.077400123,0.054528631,0.056757024,0.036131808
paved_30,0.436004567,0.418016236,0.572459811,0.543841108,0.536783509,0.403723205,0.66486081,0.054698565,0.081528411,0.087927432,0.093552753,0.097458283,0.071783006,0.045868411
paved_30,0.409762341,0.421757558,0.569664366,0.545538878,0.505617536,0.409382982,0.664251761,0.082550744,0.108788716,0.12945422,0.113878036,0.156145899,0.093629746,0.060209785
paved_30,0.454635912,0.472301894,0.562586611,0.544622705,0.505400649,0.399940555,0.666582328,0.039430771,0.053560165,0.059615635,0.050483537,0.039277487,0.046796013,0.044953566
paved_30,0.442669762,0.475466122,0.549560024,0.546715913,0.505382086,0.405242243,0.666713651,0.0372285,0.040651533,0.071823433,0.042907876,0.041840213,0.05220826,0.030830704
paved_30,0.422599703,0.430594913,0.563031339,0.541541342,0.5054106,0.408755019,0.662055396,0.043360608,0.06282554,0.072288837,0.067246797,0.072434403,0.051193579,0.038416545
paved_30,0.543497714,0.426896235,0.548977426,0.541029836,0.505318979,0.408029908,0.664038935,0.038021826,0.057890331,0.062792799,0.063766578,0.069242114,0.055142334,0.040506923
paved_30,0.474287968,0.409486894,0.559033589,0.545368209,0.505358988,0.406373109,0.663479227,0.052487825,0.080469811,0.077880955,0.07305206,0.04470051,0.056269198,0.03935848
paved_30,0.452294523,0.459566581,0.56024454,0.50756839,0.486693687,0.407455577,0.685234679,0.046444479,0.063448914,0.078732651,0.072206042,0.069728578,0.057169111,0.03509637
paved_30,0.585619407,0.447468509,0.544220953,0.506148254,0.486805381,0.407264882,0.681373198,0.041167061,0.056096107,0.063647158,0.06114718,0.058427632,0.048768123,0.048357986
paved_30,0.422571852,0.489605504,0.569329313,0.506574912,0.489097754,0.407614074,0.683852756,0.037431049,0.061028618,0.0624012,0.061938391,0.063445942,0.049752252,0.033134093
paved_30,0.450875915,0.57288138,0.554260757,0.505008622,0.489160699,0.411370459,0.682867297,0.098295849,0.076655795,0.108231671,0.100741512,0.136418901,0.076367187,0.054826933
paved_30,0.452303726,0.57919173,0.513987562,0.464694514,0.504182986,0.40641506,0.680024243,0.149437629,0.104081974,0.145460249,0.119768858,0.164955787,0.116015468,0.082069453
paved_30,0.451004707,0.556374935,0.492366293,0.467021805,0.504294953,0.410093261,0.683870177,0.051203338,0.037421273,0.063527322,0.044875242,0.033055339,0.038495955,0.039922315
paved_60,0.506275625,0.595192404,0.467441725,0.426250726,0.509760287,0.40398937,0.678122422,0.072765656,0.087521253,0.085610486,0.100745522,0.15651798,0.07952508,0.057825747
paved_60,0.492105189,0.558889315,0.45070335,0.435461486,0.509493891,0.407117247,0.683271376,0.052987718,0.062050043,0.068225877,0.071927592,0.128926868,0.060867716,0.036034199
paved_60,0.499411816,0.567603511,0.466838617,0.439876859,0.50928928,0.408517316,0.685156695,0.046632385,0.056781742,0.065757309,0.060805547,0.077452725,0.057341486,0.041646774
paved_60,0.48458727,0.585385267,0.46743849,0.439887117,0.511278326,0.405844064,0.686447685,0.067584372,0.075980744,0.081707944,0.085057264,0.132631417,0.085163188,0.046923471
paved_60,0.505703497,0.530262733,0.461502184,0.435957861,0.511122063,0.405393286,0.683586373,0.044576126,0.060993446,0.055507107,0.071264931,0.102668611,0.05073718,0.036604423
paved_60,0.553996075,0.568662152,0.474478851,0.438000024,0.51108646,0.398504385,0.685674123,0.038668185,0.054933691,0.066454671,0.063121117,0.102247293,0.063677508,0.042787509
paved_60,0.49296965,0.562060423,0.479680573,0.435676438,0.511115426,0.409089632,0.682490101,0.046031079,0.048361025,0.045492518,0.058177742,0.104598031,0.043173713,0.035149336
paved_60,0.514648744,0.589012621,0.466544783,0.435160308,0.511125688,0.407023445,0.683797146,0.047471757,0.056372429,0.051198507,0.056695481,0.104613638,0.049741797,0.0315269
paved_60,0.48684958,0.578882548,0.47035757,0.433886641,0.511067938,0.406198455,0.682582568,0.035581249,0.057111469,0.055522051,0.065478826,0.102323888,0.051602256,0.04242524
paved_60,0.50287045,0.539245558,0.471095132,0.435530072,0.511074198,0.408423205,0.684543758,0.041084172,0.0493926,0.05176989,0.051382315,0.083663472,0.046592105,0.035902579
paved_60,0.509987876,0.545581623,0.464736391,0.439281363,0.511096712,0.406569446,0.68408706,0.049110389,0.044659131,0.057151446,0.051557097,0.08305019,0.049852844,0.040393929
paved_60,0.496366238,0.571317144,0.446164703,0.465227273,0.506519624,0.410579359,0.686065127,0.142312869,0.116410738,0.150499395,0.13952976,0.164283064,0.133155754,0.076199839
paved_60,0.534502553,0.546297857,0.454622942,0.455013152,0.5222758,0.407483445,0.682846154,0.094713116,0.086448689,0.109852976,0.081997454,0.139743278,0.092723245,0.06258651
paved_60,0.527013526,0.593437439,0.451133163,0.451482887,0.522178371,0.406694949,0.659376497,0.07554532,0.084442631,0.098736522,0.08063906,0.120291746,0.081857234,0.052325947
paved_60,0.547444665,0.570428396,0.446728418,0.462146604,0.522634044,0.405616548,0.666093585,0.10061907,0.090110328,0.107893835,0.100144915,0.117982328,0.089520439,0.054450719
paved_60,0.501048477,0.554191487,0.462116552,0.460632813,0.52245508,0.407518469,0.666290453,0.079471581,0.078267305,0.096529342,0.095930306,0.099749254,0.083733052,0.050394966
paved_60,0.51562823,0.578847481,0.464749975,0.454775373,0.522541283,0.408466326,0.661865388,0.038985162,0.045198019,0.046684474,0.052668861,0.068258884,0.044847169,0.039738716
paved_60,0.493204784,0.581936421,0.469006056,0.460954074,0.522377549,0.407358008,0.665366167,0.051323989,0.047475029,0.046742373,0.051537796,0.073360352,0.044589276,0.029820538
paved_60,0.513913171,0.537609247,0.471636144,0.462552181,0.522340848,0.406046802,0.66637441,0.066064285,0.048480079,0.054664371,0.055422693,0.075060525,0.050122673,0.044824518
